mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
39	38	152	0.5	3/4	3/4	4/4	4	1		vi		A	V		vi		vi							m	0	0	3, 0, 4		3	3
39	38	305/2	0.5	7/8	7/8	4/4	4	1		viio		A	V		viio		vii	o						o	0	0	5, 2, -1		5	5
40	39	153	0.5	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
40	39	307/2	0.5	1/8	1/8	4/4	4	1		V6		A	V		V6		V		6					M	0	0	5, 2, 1		1	5
40	39	154	0.5	1/4	1/4	4/4	4	1		vi		A	V		vi		vi							m	0	0	3, 0, 4		3	3
40	39	309/2	0.5	3/8	3/8	4/4	4	1		iii6		A	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
40	39	155	0.5	1/2	1/2	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
40	39	311/2	0.5	5/8	5/8	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
40	39	156	0.5	3/4	3/4	4/4	4	1		ii		A	V		ii		ii							m	0	0	2, -1, 3		2	2
40	39	313/2	0.5	7/8	7/8	4/4	4	1		vi6		A	V		vi6		vi		6					m	0	0	0, 4, 3		3	0
41	40	157	3.0	0	0	4/4	4	1		vii%7		A	V		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
41	40	160	1.0	3/4	3/4	4/4	4	1		V6		A	V		V6		V		6					M	0	0	5, 2, 1		1	5
42	41	161	4.0	0	0	4/4	4	1		i		A	V		i		i							m	0	0	0, -3, 1		0	0
43	42	165	4.0	0	0	4/4	4	1		bVI		A	V		bVI		bVI							M	0	0	-4, 0, -3		-4	-4
44	43	169	4.0	0	0	4/4	4	1		viio7/V		A	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
45	44	173	1.5	0	0	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
45	44	349/2	0.5	3/8	3/8	4/4	4	1		V(9b64)		A	V		V(9b64)		V			9b64				M	0	0	1, 0, -3	3	1	1
45	44	175	1.5	1/2	1/2	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
45	44	353/2	0.5	7/8	7/8	4/4	4	1		V(9b64)		A	V		V(9b64)		V			9b64				M	0	0	1, 0, -3	3	1	1
46	45	177	1.5	0	0	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
46	45	357/2	0.5	3/8	3/8	4/4	4	1		V(9b64)		A	V		V(9b64)		V			9b64				M	0	0	1, 0, -3	3	1	1
46	45	179	1.5	1/2	1/2	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
46	45	361/2	0.5	7/8	7/8	4/4	4	1		V(9b64)		A	V		V(9b64)		V			9b64				M	0	0	1, 0, -3	3	1	1
47	46	181	0.5	0	0	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
47	46	363/2	0.5	1/8	1/8	4/4	4	1		V(964)		A	V		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
47	46	182	0.5	1/4	1/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
47	46	365/2	0.5	3/8	3/8	4/4	4	1		V(964)		A	V		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
47	46	183	0.5	1/2	1/2	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
47	46	367/2	0.5	5/8	5/8	4/4	4	1		V(964)		A	V		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
47	46	184	0.5	3/4	3/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
47	46	369/2	0.5	7/8	7/8	4/4	4	1		V(964)		A	V		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
48	47	185	6.0	0	0	4/4	4	1		V|HC}		A	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
49	48	189	0.0	0	0	4/4	4	1		{		A	V										{		0	0				
49	48	191	1.0	1/2	1/2	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
49	48	192	3.0	3/4	3/4	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
50	49	195	1.0	1/2	1/2	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
50	49	196	1.0	3/4	3/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
51	50	197	1.0	0	0	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
51	50	198	3.0	1/4	1/4	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
52	51	201	1.0	0	0	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
52	51	202	1.0	1/4	1/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
52	51	203	1.0	1/2	1/2	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
52	51	204	1.0	3/4	3/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
53	52	205	1.0	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
53	52	206	1.0	1/4	1/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
53	52	207	1.0	1/2	1/2	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
53	52	208	1.0	3/4	3/4	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
54	53	209	2.0	0	0	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
54	53	211	2.0	1/2	1/2	4/4	4	1		V2		A	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
55	54	213	4.0	0	0	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
56	55	217	1.0	0	0	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
56	55	218	1.0	1/4	1/4	4/4	4	1		ii6		A	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
56	55	219	1.0	1/2	1/2	4/4	4	1		V(64)		A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
56	55	220	1.0	3/4	3/4	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
57	56	221	5.0	0	0	4/4	4	1		I|PAC}		A	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
58	57	225	0.0	0	0	4/4	4	1		{		A	V										{		0	0				
58	57	226	1.0	1/4	1/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
58	57	227	1.0	1/2	1/2	4/4	4	1		V2		A	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
58	57	228	3.0	3/4	3/4	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
59	58	231	1.0	1/2	1/2	4/4	4	1		V2		A	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
59	58	232	1.0	3/4	3/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
60	59	233	1.0	0	0	4/4	4	1		V2		A	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
60	59	234	3.0	1/4	1/4	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
61	60	237	1.0	0	0	4/4	4	1		V2		A	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
61	60	238	1.0	1/4	1/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
61	60	239	1.0	1/2	1/2	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
61	60	240	1.0	3/4	3/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
62	61	241	1.0	0	0	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
62	61	242	1.0	1/4	1/4	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
62	61	243	6.0	1/2	1/2	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
64	63	249	4.0	0	0	4/4	4	1		viio2		A	V		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
65	64	253	4.0	0	0	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	65	257	2.0	0	0	4/4	4	1		I[I|PAC}{		A	V	I	I		I					PAC	}{	M	0	0	0, 4, 1		0	0
66	65	259	2.0	1/2	1/2	4/4	4	1		viio65		A	V	I	viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
67	66	261	2.0	0	0	4/4	4	1		I		A	V	I	I		I							M	0	0	0, 4, 1		0	0
67	66	263	2.0	1/2	1/2	4/4	4	1		viio65		A	V	I	viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
68	67	265	2.0	0	0	4/4	4	1		I]		A	V	I	I		I							M	0	0	0, 4, 1		0	0
68	67	267	2.0	1/2	1/2	4/4	4	1		I6		A	V		I6		I		6					M	0	0	4, 1, 0		0	4
69	68	269	3.0	0	0	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
69	68	272	1.0	3/4	3/4	4/4	4	1		V6/V		A	V		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
70	69	273	5.0	0	0	4/4	4	1		V		A	V		V		V							M	0	0	1, 5, 2		1	1
71	70	278	2.0	1/4	1/4	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
71	70	280	1.0	3/4	3/4	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
72	71	281	0.5	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
72	71	563/2	0.5	1/8	1/8	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
72	71	282	0.5	1/4	1/4	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
72	71	565/2	0.5	3/8	3/8	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
72	71	283	0.5	1/2	1/2	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
72	71	567/2	0.5	5/8	5/8	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
72	71	284	0.5	3/4	3/4	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
72	71	569/2	0.5	7/8	7/8	4/4	4	1		V65		A	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
73	72	285	4.0	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
74	73	289	4.0	0	0	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
75	74	293	4.0	0	0	4/4	4	1		ii6		A	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
76	75	297	7.0	0	0	4/4	4	1		V(64)		A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
77	76	304	1.0	3/4	3/4	4/4	4	1		vii%7/V		A	V		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
78	77	305	2.0	0	0	4/4	4	1		V(64)		A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
78	77	307	2.0	1/2	1/2	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
79	78	309	2.0	0	0	4/4	4	1		I|PAC}		A	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
79	78	311	1.0	1/2	1/2	4/4	4	1		IV{		A	V		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
79	78	312	1.0	3/4	3/4	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
80	79	313	2.0	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
80	79	315	2.0	1/2	1/2	4/4	4	1		I(^74^2)		A	V		I(^74^2)		I			^74^2				M	0	0	0, 2, -1, 1	5	0	0
81	80	317	2.0	0	0	4/4	4	1		I|IAC}		A	V		I		I					IAC	}	M	0	0	0, 4, 1		0	0
81	80	319	1.0	1/2	1/2	4/4	4	1		IV{		A	V		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
81	80	320	1.0	3/4	3/4	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
82	81	321	2.0	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
82	81	323	2.0	1/2	1/2	4/4	4	1		I(^74^2)		A	V		I(^74^2)		I			^74^2				M	0	0	0, 2, -1, 1	5	0	0
83	82	325	2.0	0	0	4/4	4	1		I|PAC}		A	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
83	82	327	1.0	1/2	1/2	4/4	4	1		IV{		A	V		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
83	82	328	1.0	3/4	3/4	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
84	83	329	2.0	0	0	4/4	4	1		I		A	V		I		I							M	0	0	0, 4, 1		0	0
84	83	331	1.0	1/2	1/2	4/4	4	1		IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
84	83	332	1.0	3/4	3/4	4/4	4	1		V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
85	84	333	12.0	0	0	4/4	4	1		I|PAC}		A	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
87	86			3/4	3/4	4/4	4	1	1	I.I6{		A	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
89	87	345	2.0	0	0	4/4	4	1		i6		A	V		i6		i		6					m	0	0	-3, 1, 0		0	-3
89	87	347	2.0	1/2	1/2	4/4	4	1		bIII.viio6		A	bIII		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
90	88	349	0.5	0	0	4/4	4	1		I[I(9){		A	bIII	I	I(9)		I			9			{	M	0	0	0, 4, 1	2	0	0
90	88	699/2	3.5	1/8	1/8	4/4	4	1		I		A	bIII	I	I		I							M	0	0	0, 4, 1		0	0
91	89	353	4.0	0	0	4/4	4	1		V7		A	bIII	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
92	90	357	0.5	0	0	4/4	4	1		I(9)		A	bIII	I	I(9)		I			9				M	0	0	0, 4, 1	2	0	0
92	90	715/2	3.5	1/8	1/8	4/4	4	1		I		A	bIII	I	I		I							M	0	0	0, 4, 1		0	0
93	91	361	4.0	0	0	4/4	4	1		V7		A	bIII	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
94	92	365	4.0	0	0	4/4	4	1		I]|PAC}{		A	bIII	I	I		I					PAC	}{	M	0	0	0, 4, 1		0	0
95	93	369	2.0	0	0	4/4	4	1		I6		A	bIII		I6		I		6					M	0	0	4, 1, 0		0	4
95	93	371	2.0	1/2	1/2	4/4	4	1		V43		A	bIII		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
96	94	373	4.0	0	0	4/4	4	1		I		A	bIII		I		I							M	0	0	0, 4, 1		0	0
97	95	377	2.0	0	0	4/4	4	1		I.bIII		A	I		bIII		bIII							M	0	0	-3, 1, -2		-3	-3
97	95	379	2.0	1/2	1/2	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
98	96	381	6.0	0	0	4/4	4	1		i}{		A	I		i		i						}{	m	0	0	0, -3, 1		0	0
99	97	387	2.0	1/2	1/2	4/4	4	1		V2/IV		A	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
100	98	389	2.0	0	0	4/4	4	1		IV6		A	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
100	98	391	2.0	1/2	1/2	4/4	4	1		iv6		A	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
101	99	393	2.0	0	0	4/4	4	1		viio2		A	I		viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
101	99	395	2.0	1/2	1/2	4/4	4	1		V65/vi		A	I		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
102	100	397	2.0	0	0	4/4	4	1		i(9)/vi		A	I		i(9)/vi		i			9	vi			m	0	0	3, 0, 4	5	3	3
102	100	399	2.0	1/2	1/2	4/4	4	1		Ger6/vi		A	I		Ger6/vi	Ger	vii	o	65	b3	V/vi			Ger	0	0	-1, 3, 0, 9		9	-1
103	101	401	1.0	0	0	4/4	4	1		V/vi[V/vi		A	I	V/vi	V/vi		V				vi			M	0	0	4, 8, 5		4	4
103	101	402	1.0	1/4	1/4	4/4	4	1		V7/vi		A	I	V/vi	V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
103	101	403	1.0	1/2	1/2	4/4	4	1		V(64)/vi		A	I	V/vi	V(64)/vi		V			64	vi			M	0	0	4, 3, 0		4	4
103	101	404	1.0	3/4	3/4	4/4	4	1		viio2/V/vi	Ger2/vi	A	I	V/vi	viio2/V/vi		vii	o	2		V/vi			o7	0	0	0, 9, 6, 3		9	0
104	102	405	1.0	0	0	4/4	4	1		V/vi		A	I	V/vi	V/vi		V				vi			M	0	0	4, 8, 5		4	4
104	102	406	1.0	1/4	1/4	4/4	4	1		V7/vi		A	I	V/vi	V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
104	102	407	1.0	1/2	1/2	4/4	4	1		V(64)/vi		A	I	V/vi	V(64)/vi		V			64	vi			M	0	0	4, 3, 0		4	4
104	102	408	1.0	3/4	3/4	4/4	4	1		viio2/V/vi	Ger2/vi	A	I	V/vi	viio2/V/vi		vii	o	2		V/vi			o7	0	0	0, 9, 6, 3		9	0
105	103	409	4.0	0	0	4/4	4	1		V/vi		A	I	V/vi	V/vi		V				vi			M	0	0	4, 8, 5		4	4
106	104	413	4.0	0	0	4/4	4	1		I6]		A	I	V/vi	I6		I		6					M	0	0	4, 1, 0		0	4
107	105	417	2.0	0	0	4/4	4	1		ii7		A	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
107	105	419	2.0	1/2	1/2	4/4	4	1		V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
108	106	421	8.0	0	0	4/4	4	1		I|PAC}{		A	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
110	108	429	1.0	0	0	4/4	4	1		V43(4)		A	I		V43(4)		V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
110	108	430	3.0	1/4	1/4	4/4	4	1		V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
111	109	433	8.0	0	0	4/4	4	1		V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
113	111	441	1.0	0	0	4/4	4	1		I(4)}		A	I		I(4)		I			4			}	M	0	0	0, -1, 1		0	0
113	111	442	3.0	1/4	1/4	4/4	4	1		I|IAC		A	I		I		I					IAC		M	0	0	0, 4, 1		0	0
113	111	443	0.0	1/2	1/2	4/4	4	1		{		A	I										{		0	0				
